question,type,value,notes
1,set,"{'movies_2010.csv',
 'movies_2011.csv',
 'movies_2012.csv',
 'movies_2013.csv',
 'movies_2014.csv',
 'movies_2015.csv',
 'movies_2016.csv',
 'movies_2017.csv',
 'movies_2018.csv',
 'movies_2019.csv'}",require=superset
2,int,673,
3,float,4195.005943536404,
4,float,1.5,
5,set,"{'Adutha Chodyam',
 'As I Am',
 'Breakout',
 'Ek',
 'Fan',
 'Hellaro',
 'Metallica and San Francisco Symphony S&M2',
 'Mudda 370 J&K',
 'NT Live: Cyrano de Bergerac',
 'National Theatre Live: The Lehman Trilogy',
 'Oththa Seruppu Size 7',
 'Precure Miracle Universe Movie',
 'Shindisi',
 'Stanley Stanton'}",
6,set,"{'As I Am',
 'Metallica and San Francisco Symphony S&M2',
 'Oththa Seruppu Size 7'}",
7,int,8839,
8,list,"['Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.',
 'A biopic about António Variações, a famous Portuguese pop rock singer from the 80s who died from AIDS-related complications in 1984.',
 'The film takes place in Belgrade within the course of 24 hours. It follows a few stories and speaks about young urban characters, their lives, their ideals and feelings, and raises the question of whether they still have them.']",
9,dict,"{'$': 2557,
 'EUR': 520,
 'INR': 142,
 'GBP': 130,
 'CAD': 76,
 'AUD': 38,
 'NOK': 32,
 'BRL': 22,
 'SEK': 20,
 'DKK': 18,
 'RUR': 15,
 'PLN': 13,
 'TRL': 11,
 'CZK': 10,
 'CNY': 7,
 'KRW': 7,
 'NZD': 7,
 'EGP': 6,
 'TWD': 6,
 'MXN': 6,
 'IRR': 6,
 'ZAR': 5,
 'MYR': 5,
 'ARS': 5,
 'BDT': 5,
 'THB': 4,
 'PKR': 4,
 'ILS': 3,
 'JPY': 3,
 'IDR': 3,
 'HKD': 2,
 'LTL': 2,
 'LVL': 2,
 'PHP': 2,
 'HUF': 2,
 'CLP': 2,
 'CHF': 2,
 'SGD': 2,
 'ISK': 2,
 'VEB': 1,
 'EEK': 1,
 'UAH': 1,
 'BGL': 1,
 'RON': 1,
 'NGN': 1,
 'TTD': 1}",
10,float,13.415715957891,
11,float,12.0,
12,NotImplementedError,NotImplementedError('conversion for HAH not supported yet'),
13,ValueError,ValueError('currency string must have two parts'),
14,bool,False,
15,int,3678,
16,float,16229300.168126486,
17,set,"{'Action.txt', 'Bio.txt', 'Comedy.txt'}",
18,list,"[""Anderson's Cross\n"",
 ""Rapunzel: L'intreccio della torre\n"",
 'Venus & Vegas\n',
 'A cena con un cretino\n',
 'Toy Story 3 - La grande fuga\n']",
19,int,0,
