question,type,value,notes
1,str,"'<p>The U.S. state of <a href=""/wiki/Wisconsin"" title=""Wisconsin"">Wisconsin</a> is divided into 72 <a href=""/wiki/County_(United_States)"" title=""County (United States)"">counties</a>. The land that eventually became Wisconsin was transferred from British to American control with the 1783 signing of the <a href=""/wiki/Treaty_of_Paris_(1783)"" title=""Treaty of Paris (1783)"">Treaty of Paris</a>.<sup id=""cite_ref-HistoryBuffaloPepinCounties_1-0"" class=""reference""><a href=""#cite_note-HistoryBuffaloPepin'",
2,str,"""The U.S. state of Wisconsin is divided into 72 counties. The land that eventually became Wisconsin was transferred from British to American control with the 1783 signing of the Treaty of Paris.[1] It was an unorganized part of the Northwest Territory until 1802 when all of the land from St. Louis north to the Canadian border was organized as St. Clair County.[1]  When Illinois was admitted to the union in 1818, Wisconsin became part of the Territory of Michigan and divided into two counties: Brown County in the northeast along Lake Michigan and Crawford County in the southwest along the Mississippi River.[1] Iowa County was formed in 1829 from the Crawford County land south of the Wisconsin River.[1] Brown County's southern portion was used to form Milwaukee County in 1834.[1] The state of Wisconsin was created from Wisconsin Territory on May 29, 1848, with 28 counties.\n""",
3,int,4,
4,list,"[8, 73, 5, 10]",
5,list,"['County',
 'FIPScode',
 'Countyseat',
 'Est',
 'Formedfrom',
 'Etymology',
 'Population',
 'Area',
 'Map']",
6,dict,"{'FIPScode': '001',
 'County': 'Adams County',
 'Est': 1848,
 'Population': 20875,
 'Area': 645.65}",
7,dict,"{'001': 'Adams County',
 '003': 'Ashland County',
 '005': 'Barron County',
 '007': 'Bayfield County',
 '009': 'Brown County',
 '011': 'Buffalo County',
 '013': 'Burnett County',
 '015': 'Calumet County',
 '017': 'Chippewa County',
 '019': 'Clark County',
 '021': 'Columbia County',
 '023': 'Crawford County',
 '025': 'Dane County',
 '027': 'Dodge County',
 '029': 'Door County',
 '031': 'Douglas County',
 '033': 'Dunn County',
 '035': 'Eau Claire County',
 '037': 'Florence County',
 '039': 'Fond du Lac County',
 '041': 'Forest County',
 '043': 'Grant County',
 '045': 'Green County',
 '047': 'Green Lake County',
 '049': 'Iowa County',
 '051': 'Iron County',
 '053': 'Jackson County',
 '055': 'Jefferson County',
 '057': 'Juneau County',
 '059': 'Kenosha County',
 '061': 'Kewaunee County',
 '063': 'La Crosse County',
 '065': 'Lafayette County',
 '067': 'Langlade County',
 '069': 'Lincoln County',
 '071': 'Manitowoc County',
 '073': 'Marathon County',
 '075': 'Marinette County',
 '077': 'Marquette County',
 '078': 'Menominee County',
 '079': 'Milwaukee County',
 '081': 'Monroe County',
 '083': 'Oconto County',
 '085': 'Oneida County',
 '087': 'Outagamie County',
 '089': 'Ozaukee County',
 '091': 'Pepin County',
 '093': 'Pierce County',
 '095': 'Polk County',
 '097': 'Portage County',
 '099': 'Price County',
 '101': 'Racine County',
 '103': 'Richland County',
 '105': 'Rock County',
 '107': 'Rusk County',
 '111': 'Sauk County',
 '113': 'Sawyer County',
 '115': 'Shawano County',
 '117': 'Sheboygan County',
 '109': 'St. Croix County',
 '119': 'Taylor County',
 '121': 'Trempealeau County',
 '123': 'Vernon County',
 '125': 'Vilas County',
 '127': 'Walworth County',
 '129': 'Washburn County',
 '131': 'Washington County',
 '133': 'Waukesha County',
 '135': 'Waupaca County',
 '137': 'Waushara County',
 '139': 'Winnebago County',
 '141': 'Wood County'}",
8,dict,"{'Milwaukee County': 296,
 'Dane County': 105,
 'Waukesha County': 86,
 'Brown County': 54,
 'Racine County': 44,
 'Winnebago County': 41,
 'Outagamie County': 40,
 'Rock County': 38,
 'Kenosha County': 35,
 'Washington County': 28,
 'Marathon County': 27,
 'Sheboygan County': 26,
 'La Crosse County': 25,
 'Walworth County': 22,
 'Dodge County': 20,
 'Eau Claire County': 20,
 'Jefferson County': 20,
 'Fond du Lac County': 20,
 'Manitowoc County': 19,
 'Ozaukee County': 18,
 'Wood County': 17,
 'St. Croix County': 14,
 'Portage County': 14,
 'Oneida County': 14,
 'Sauk County': 13,
 'Marinette County': 12,
 'Grant County': 12,
 'Douglas County': 12,
 'Columbia County': 12,
 'Waupaca County': 12,
 'Chippewa County': 11,
 'Shawano County': 11,
 'Calumet County': 11,
 'Oconto County': 10,
 'Lincoln County': 10,
 'Polk County': 10,
 'Barron County': 10,
 'Door County': 9,
 'Monroe County': 9,
 'Pierce County': 8,
 'Dunn County': 8,
 'Trempealeau County': 8,
 'Clark County': 8,
 'Green County': 8,
 'Vernon County': 7,
 'Juneau County': 7,
 'Waushara County': 7,
 'Ashland County': 7,
 'Adams County': 7,
 'Burnett County': 6,
 'Green Lake County': 6,
 'Crawford County': 6,
 'Taylor County': 6,
 'Price County': 6,
 'Langlade County': 6,
 'Iowa County': 6,
 'Sawyer County': 6,
 'Vilas County': 5,
 'Buffalo County': 5,
 'Washburn County': 5,
 'Lafayette County': 5,
 'Marquette County': 5,
 'Jackson County': 5,
 'Bayfield County': 5,
 'Richland County': 5,
 'Rusk County': 5,
 'Forest County': 4,
 'Kewaunee County': 4,
 'Iron County': 3,
 'Pepin County': 2,
 'Florence County': 2,
 'Menominee County': 2}",
9,set,"{'counties', 'covid'}",
10,float,54157.86999999999,
